0	295	19	0.627943485	44.54740175
1	1433	128	0.313971743	622.9092941
2	3402	146	0.313971743	1165.705904
3	4642	251	1.25588697	1886.552431
4	5119	303	1.726844584	2536.170609
5	5224	366	2.197802198	3034.517601
6	5287	507	2.668759812	3550.661203
7	5351	522	3.139717425	3897.737009
8	5004	581	3.767660911	4253.725088
9	4993	621	4.395604396	4538.526728
10	4905	699	4.552590267	4787.693239
11	4823	732	5.337519623	4992.424101
12	4530	783	5.965463108	5188.24269
13	4509	840	6.593406593	5303.976532
14	4334	869	7.221350078	5357.422239
15	4278	874	8.006279435	5375.288694
16	3972	918	9.262166405	5330.908922
17	3851	940	10.20408163	5215.31477
18	3773	880	10.98901099	5099.706649
19	3622	927	11.30298273	4966.260011
20	3574	993	11.93092622	4832.841311
21	3485	983	12.40188383	4708.306947
22	3334	997	12.71585557	4601.555224
23	3202	1020	13.34379906	4441.441609
24	3195	1035	13.81475667	4290.21233
25	2976	1020	14.7566719	3863.1775
26	2897	1057	15.38461538	3667.470665
27	2872	1061	15.855573	3507.343081
28	2763	990	16.32653061	3249.33414
29	2714	1054	16.64050235	2973.514621
30	2630	1082	17.26844584	2866.790836
31	3075	1309	18.0533752	2724.4878
32	3199	1442	18.36734694	2484.261501
33	3171	1380	18.68131868	2297.425033
34	2950	1437	19.30926217	2092.819892
35	2683	1357	20.09419152	1888.22872
36	2699	1360	20.72213501	1745.911715
37	2551	1301	21.50706436	1603.608679
38	2442	1356	21.82103611	1407.873906
39	2359	1314	23.23390895	1274.525051
40	2379	1295	23.54788069	1123.281803
41	2268	1294	23.86185243	1007.631775
42	2077	1402	24.80376766	749.664742
43	2111	1372	26.2166405	589.6209722
44	2111	1336	27.15855573	500.7217359
45	1977	1337	28.4144427	438.545353
46	1985	1348	29.5133438	314.0668653
47	1910	1325	31.08320251	207.4268951
48	1903	1344	33.28100471	136.4360216
49	1833	1406	35.94976452	101.0802757
50	1856	1302	37.99058085	65.66865338
51	1691	1393	39.8744113	65.83628236
52	1731	1317		
53	1678	1362		
54	1588	1409		
55	1646	1359		
56	1559	1369		
57	1484	1313		
58	1506	1395		
59	1464	1388		
60	1434	1353		
61	1438	1390		
62	1435	1313		
63	1418	1391		
64	1317	1357		
65	1280	1383		
66	1297	1360		
67	1265	1309		
68	1230	1383		
69	1223	1411		
70	1236	1369		
71	1147	1403		
72	1140	1409		
73	1190	1421		
74	1129	1390		
75	1119	1398		
76	1049	1337		
77	1024	1362		
78	1040	1443		
79	1055	1389		
80	1056	1459		
81	1027	1470		
82	967	1409		
83	968	1471		
84	929	1443		
85	906	1473		
86	854	1422		
87	916	1378		
88	892	1413		
89	871	1487		
90	861	1398		
91	839	1458		
92	819	1453		
93	835	1430		
94	855	1443		
95	804	1412		
96	804	1436		
97	797	1439		
98	760	1450		
99	765	1379		
100	793	1361		
101	724	1421		
102	743	1477		
103	673	1473		
104	738	1349		
105	729	1425		
106	684	1372		
107	678	1403		
108	637	1472		
109	706	1430		
110	642	1421		
111	635	1458		
112	593	1459		
113	643	1378		
114	587	1456		
115	652	1465		
116	562	1442		
117	574	1387		
118	593	1451		
119	568	1440		
120	599	1455		
121	548	1440		
122	643	1493		
123	543	1441		
124	567	1470		
125	585	1496		
126	544	1432		
127	515	1481		
128	546	1445		
129	513	1510		
130	511	1443		
131	483	1487		
132	486	1410		
133	521	1410		
134	478	1408		
135	535	1420		
136	479	1405		
137	451	1414		
138	516	1440		
139	450	1394		
140	482	1409		
141	448	1416		
142	442	1383		
143	481	1411		
144	451	1418		
145	459	1447		
146	464	1435		
147	438	1503		
148	483	1475		
149	458	1404		
150	464	1408		
151	421	1450		
152	452	1439		
153	450	1490		
154	431	1463		
155	374	1424		
