T9,PT_median,PT_p16,PT_p84,LU_median,LU_p16,LU_p84,Fixed01
0.01,3.871170134129859e-43,3.5373616309587917e-44,1.691813110651785e-42,8.15811617674671e-45,7.682096062380037e-47,9.078793456319197e-43,8.538316060010474e-43
0.011242100350620869,3.33600249720175e-38,3.048341154098274e-39,1.4579294028371655e-37,7.030302207114536e-40,6.620089213310678e-42,7.823700998010379e-38,7.357941581272089e-38
0.012638482029342977,8.033230145897052e-34,7.34052989307457e-35,3.51075349592369e-33,1.6929254601077588e-35,1.5941444972389376e-37,1.8839791265869936e-33,1.7718223584066378e-33
0.014208308325339224,6.223180549386736e-30,5.686559705513383e-31,2.7197095654831477e-29,1.3114750360146363e-31,1.2349514265063346e-33,1.45948043851513e-29,1.3725948637779794e-29
0.01597312280060254,1.757972781653386e-26,1.6063839228518862e-27,7.682848588721875e-26,3.7047573966961707e-28,3.4885875112141826e-30,4.122854649489459e-26,3.877413473078027e-26
0.0179571449437164,2.0243987616695986e-23,1.849836162496678e-24,8.84720703950589e-23,4.266224349107554e-25,4.01729327745102e-27,4.7476854784523164e-23,4.465046965060363e-23
0.02018760254679039,1.0493551274957974e-20,9.588699118458805e-22,4.585984859655646e-20,2.211414312509882e-22,2.0823799041799877e-24,2.4609815985277647e-20,2.314474804080297e-20
0.022695105366946685,2.6741908494026593e-18,2.443597097719483e-19,1.1686986060149962e-17,5.63559824867362e-20,5.306765211151468e-22,6.271598907642098e-18,5.898239004191965e-18
0.025514065200312887,3.623890148376297e-16,3.311404438843467e-17,1.5837446178177188e-15,7.636997553161525e-18,7.191384329481783e-20,8.4988644325996645e-16,7.99291128560797e-16
0.02868316813342012,2.8001120436218262e-14,2.5586601885995005e-15,1.223729803277733e-13,5.900964971385631e-16,5.556647979607647e-18,6.566913366701862e-14,6.175972846323622e-14
0.03224590545296395,1.312654097120558e-12,1.1994647811878773e-13,5.736677372250168e-12,2.766291393338395e-14,2.604880313022841e-16,3.0784788615412833e-12,2.895211310882426e-12
